2026/03/31 11:25:07:272 [CDevice] CAM_SerialWrite OK
2026/03/31 11:25:16:778 [CDevice] CAM_SerialWrite OK
2026/03/31 11:25:21:790 [CDevice] CAM_SerialWrite OK
2026/03/31 11:25:55:632 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:00:670 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:07:654 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:12:689 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:13:938 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:18:993 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:23:319 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:28:359 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:44:286 [CDevice] CAM_SerialWrite OK
2026/03/31 11:26:49:360 [CDevice] CAM_SerialWrite OK
2026/03/31 11:27:01:827 [CDevice] CAM_SerialWrite OK
2026/03/31 11:27:06:854 [CDevice] CAM_SerialWrite OK
2026/03/31 11:27:16:897 [CDevice] CAM_SerialWrite OK
2026/03/31 11:27:21:923 [CDevice] CAM_SerialWrite OK
2026/03/31 11:28:16:748 [CDevice] CAM_SerialWrite OK
2026/03/31 11:28:21:772 [CDevice] CAM_SerialWrite OK
2026/03/31 11:28:34:607 [CDevice] CAM_SerialWrite OK
2026/03/31 11:28:39:649 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:02:048 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:07:072 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:07:845 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:12:858 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:13:992 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:19:037 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:22:810 [CDevice] CAM_SerialWrite OK
2026/03/31 11:29:27:867 [CDevice] CAM_SerialWrite OK
